Item,ID
apple,1102644
arhar (tur),1977550
banana,1102653
besan,2091506
black pepper,170931
bread (bakery),1100621
brinjal,2024758
cabbage,1103343
carrot,1103193
cashewnut,1100517
cauliflower,1103345
chicken,2029648
chillis (green),170497
chips,1648089
coconut,1100523
cold beverages: bottled/canned,422335
curd,1919204
curry powder,1155520
dates,1102631
dhania,170922
dry chillies,168570
fish (fresh),1028841
french beans and barbati,2216557
garlic,1103354
ghee,1103844
ginger,1937534
goat meat,175304
"gourd, pumpkin",168448
grapes,1102665
groundnut,1100536
groundnut oil,1750348
guava,1102666
gur,1942595
jeera,1915741
lady's finger,2008520
lemon,1102594
maida,2091229
mango,1102670
masur,172420
milk : condensed/ powder,508611
milk: liquid,1909132
moong,1100404
muri,1886719
mustard oil,172337
oilseeds,598232
onion,1103364
"orange,mausami",1102597
other spices,1889171
palak,1103153
parwal/patal,168414
peas-pulses,170419
pickles,1103686
potato,1102879
radish,1103374
"raisin (kishmish, monacca, etc.)",1102640
"refined oil [sunflower, soyabean, saffola, etc.]",2129576
rice - other sources,2077766
salt,173468
"sauce, jam, jelly",2031743
sugar -other sources,1103933
"suji, rawa",1126152
tamarind,1102697
tea: cups,1104274
tea; leaf,1104262
tomato,1103276
turmeric,172231
urd,1898206
wheat/atta - other sources,522973